"","latitud","longitud","taxon.name"
"1295",41.4076716667,2.2053966667,"Dichondra micrantha"
"1296",41.4180633333,2.205505,"Dichondra micrantha"
"1297",41.4172116667,2.205745,"Dichondra micrantha"
"1298",41.41785,2.20576,"Dichondra micrantha"
"1299",41.408235,2.2063933333,"Dichondra micrantha"
"1300",41.4182274,2.2060932,"Dichondra micrantha"
"1301",41.4180783333,2.2062316667,"Dichondra micrantha"
"1302",41.40815,2.2069583333,"Dichondra micrantha"
"1303",41.4084316667,2.207075,"Dichondra micrantha"
"1305",41.4186583333,2.206715,"Dichondra micrantha"
"1306",41.4186783333,2.2069833333,"Dichondra micrantha"
"1307",41.4195133333,2.20698,"Dichondra micrantha"
"1308",41.4087866667,2.2076616667,"Dichondra micrantha"
"1309",41.4186416667,2.2073416667,"Dichondra micrantha"
"1310",41.4083516667,2.2079033333,"Dichondra micrantha"
"1311",41.418845,2.2079416667,"Dichondra micrantha"
"1312",41.4092033333,2.2085766667,"Dichondra micrantha"
"1313",41.4198283333,2.2084166667,"Dichondra micrantha"
"1314",41.4090733333,2.2092616667,"Dichondra micrantha"
"1315",41.4092416667,2.20927,"Dichondra micrantha"
"1316",41.4089216667,2.20945,"Dichondra micrantha"
"1317",41.4092983333,2.2094366667,"Dichondra micrantha"
"1321",41.4091066667,2.21016,"Dichondra micrantha"
"1322",41.4092966667,2.2102233333,"Dichondra micrantha"
"1324",41.4090616667,2.2109266667,"Dichondra micrantha"
"1325",41.4094616667,2.2111633333,"Dichondra micrantha"
"1326",41.4093416667,2.2112916667,"Dichondra micrantha"
"1327",41.4096116667,2.2113966667,"Dichondra micrantha"
"1328",41.4095966667,2.2115533333,"Dichondra micrantha"
"1329",41.409715,2.2117766667,"Dichondra micrantha"
"1330",41.4099133333,2.2122566667,"Dichondra micrantha"
"1331",41.4099783333,2.2122866667,"Dichondra micrantha"
"1332",41.4101266667,2.212625,"Dichondra micrantha"
"1333",41.41031,2.2128833333,"Dichondra micrantha"
"1334",41.41016,2.2131716667,"Dichondra micrantha"
"1335",41.4101384,2.2131923,"Dichondra micrantha"
"1",41.3685133104,2.0949135348,"Ipomoea indica"
"4",41.3669869635,2.0958249321,"Ipomoea indica"
"6",41.4154660226,2.0946036758,"Ipomoea indica"
"7",41.3474045769,2.1001686528,"Ipomoea indica"
"15",41.3441101771,2.1061695696,"Ipomoea indica"
"86",41.3668275333,2.1130180188,"Ipomoea indica"
"124",41.3565420745,2.1154354513,"Ipomoea indica"
"152",41.3674753855,2.1181602404,"Ipomoea indica"
"156",41.3859733333,2.1192483333,"Ipomoea indica"
"172",41.3850716667,2.1205866667,"Ipomoea indica"
"191",41.36895565,2.1241784468,"Ipomoea indica"
"431",41.3616633333,2.1461721667,"Ipomoea indica"
"434",41.41230833,2.14457217,"Ipomoea indica"
"445",41.41903165,2.14663432,"Ipomoea indica"
"550",41.3673914853,2.1538838425,"Ipomoea indica"
"563",41.410387354,2.1518885158,"Ipomoea indica"
"565",41.4189186,2.1514961,"Ipomoea indica"
"574",41.4139684105,2.1518942095,"Ipomoea indica"
"579",41.41945495,2.15166476,"Ipomoea indica"
"592",41.4199416667,2.1518083333,"Ipomoea indica"
"593",41.4195166667,2.1518366667,"Ipomoea indica"
"598",41.4199519,2.1518688,"Ipomoea indica"
"641",41.362045,2.15589717,"Ipomoea indica"
"653",41.4149650455,2.1534184063,"Ipomoea indica"
"664",41.3610902107,2.1569674462,"Ipomoea indica"
"679",41.4365983333,2.15375,"Ipomoea indica"
"698",41.3590616667,2.1585183333,"Ipomoea indica"
"702",41.3584800717,2.1592411213,"Ipomoea indica"
"703",41.3585266751,2.1592997946,"Ipomoea indica"
"704",41.368177402,2.1589576453,"Ipomoea indica"
"728",41.4187616667,2.1606555,"Ipomoea indica"
"736",41.4191442417,2.1618916954,"Ipomoea indica"
"738",41.419439734,2.1621583302,"Ipomoea indica"
"741",41.41881543,2.16235058,"Ipomoea indica"
"747",41.41897118,2.16272304,"Ipomoea indica"
"750",41.4188305965,2.1628269542,"Ipomoea indica"
"770",41.3693307658,2.1662056446,"Ipomoea indica"
"772",41.369939455,2.1661929041,"Ipomoea indica"
"773",41.4169956216,2.1640875,"Ipomoea indica"
"777",41.3630490559,2.1671352939,"Ipomoea indica"
"783",41.4196616667,2.1646778333,"Ipomoea indica"
"785",41.4229980806,2.1646848321,"Ipomoea indica"
"803",41.4453633711,2.1651543912,"Ipomoea indica"
"805",41.4171771523,2.16681466,"Ipomoea indica"
"810",41.4183723076,2.1670095718,"Ipomoea indica"
"812",41.41858015,2.16721116,"Ipomoea indica"
"813",41.41780833,2.16726333,"Ipomoea indica"
"814",41.41767591,2.16752123,"Ipomoea indica"
"819",41.4180155,2.1679852,"Ipomoea indica"
"822",41.418645,2.168955,"Ipomoea indica"
"828",41.3704387006,2.1725126077,"Ipomoea indica"
"832",41.3687319355,2.1730974969,"Ipomoea indica"
"835",41.4480066188,2.1690665679,"Ipomoea indica"
"985",41.4024333903,2.1862823144,"Ipomoea indica"
"986",41.4000942093,2.1870494261,"Ipomoea indica"
"987",41.4011335653,2.1870500967,"Ipomoea indica"
"988",41.40133667,2.18726333,"Ipomoea indica"
"990",41.4551287772,2.186735943,"Ipomoea indica"
"1034",41.423905,2.1931366667,"Ipomoea indica"
"1108",41.408654928,2.1979906062,"Ipomoea indica"
"2",41.4288435419,2.0925278256,"Kalanchoe × houghtonii"
"46",41.3831316667,2.108275,"Kalanchoe × houghtonii"
"47",41.383205,2.1083983333,"Kalanchoe × houghtonii"
"48",41.3832266667,2.1084016667,"Kalanchoe × houghtonii"
"105",41.3871760215,2.1128202975,"Kalanchoe × houghtonii"
"150",41.3676267589,2.1180754868,"Kalanchoe × houghtonii"
"209",41.362025,2.1261805,"Kalanchoe × houghtonii"
"252",41.3830851904,2.1302131657,"Kalanchoe × houghtonii"
"274",41.3689583333,2.1330221667,"Kalanchoe × houghtonii"
"276",41.3740616667,2.1331721667,"Kalanchoe × houghtonii"
"278",41.3735516667,2.1332633333,"Kalanchoe × houghtonii"
"279",41.3737166667,2.1332616667,"Kalanchoe × houghtonii"
"280",41.3737383333,2.1332883333,"Kalanchoe × houghtonii"
"281",41.373715,2.1333016667,"Kalanchoe × houghtonii"
"282",41.3757598171,2.1332454247,"Kalanchoe × houghtonii"
"283",41.3743616131,2.1335326508,"Kalanchoe × houghtonii"
"303",41.3790083216,2.1353593406,"Kalanchoe × houghtonii"
"307",41.3657516667,2.1368983333,"Kalanchoe × houghtonii"
"308",41.3662333333,2.13698,"Kalanchoe × houghtonii"
"309",41.3657466667,2.1370466667,"Kalanchoe × houghtonii"
"310",41.3658266667,2.1370816667,"Kalanchoe × houghtonii"
"311",41.3658433333,2.1370933333,"Kalanchoe × houghtonii"
"323",41.365965,2.13732,"Kalanchoe × houghtonii"
"324",41.365855,2.1373833333,"Kalanchoe × houghtonii"
"326",41.3658916667,2.1374433333,"Kalanchoe × houghtonii"
"368",41.376033,2.142278,"Kalanchoe × houghtonii"
"374",41.3916183333,2.1418133333,"Kalanchoe × houghtonii"
"402",41.370635,2.1434,"Kalanchoe × houghtonii"
"423",41.4073416667,2.1422361667,"Kalanchoe × houghtonii"
"477",41.3547266667,2.1519766667,"Kalanchoe × houghtonii"
"490",41.354955,2.1521633333,"Kalanchoe × houghtonii"
"491",41.35496,2.152195,"Kalanchoe × houghtonii"
"496",41.3550483333,2.152405,"Kalanchoe × houghtonii"
"503",41.35498,2.15302,"Kalanchoe × houghtonii"
"507",41.3549533333,2.1531733333,"Kalanchoe × houghtonii"
"512",41.3550916667,2.1532433333,"Kalanchoe × houghtonii"
"526",41.411857,2.150629,"Kalanchoe × houghtonii"
